Symbol,Company Name,Market Cap,% Change,Volume,Revenue
SOHO,Sotherly Hotels Inc.,57.25M,4.38%,260173,173.03M
AIRE,reAlpha Tech Corp.,55.15M,-0.79%,8027573,439.12K
LOAN,"Manhattan Bridge Capital, Inc.",52.67M,-4.17%,51,10.73M
FTHM,Fathom Holdings Inc.,52.12M,-1.87%,25948,354.59M
SELF,"Global Self Storage, Inc.",47.02M,-1.18%,30776,12.27M
CHCI,"Comstock Holding Companies, Inc.",45.60M,-1.56%,2647,43.01M
WETH,Wetouch Technology Inc.,45.55M,-1.02%,4,39.88M
LODE,Comstock Inc.,44.36M,0.79%,563584,1.27M
RFL,"Rafael Holdings, Inc.",41.91M,0.59%,14756,277.00K
LRHC,La Rosa Holding Corp.,28.64M,12.83%,3204,26.32M
OMH,Ohmyhome Limited,21.64M,6.74%,77082,4.36M
GIPR,"Generation Income Properties, Inc.",19.24M,3.50%,21,5.91M
LEJU,Leju Holdings Limited,19.02M,-4.19%,24557,332.27M
MDJH,MDJM Ltd,16.93M,0.94%,3934,29.45K
NYC,American Strategic Investment Co,15.99M,-5.34%,6834,63.53M
SQFT,"Presidio Property Trust, Inc.",14.88M,-1.90%,52731,17.63M
XIN,"Xinyuan Real Estate Co., Ltd.",14.88M,3.45%,3374,754.13M
IHT,InnSuites Hospitality Trust,14.41M,-0.64%,1886,7.39M
WHLR,"Wheeler Real Estate Investment Trust, Inc.",13.87M,-2.90%,19877,102.33M
AEI,Alset EHome International Inc.,12.51M,-12.39%,163,21.95M
MDRR,"Medalist Diversified REIT, Inc.",12.47M,1.18%,1,10.27M
GYRO,"Gyrodyne, LLC",12.40M,-0.44%,4150,-
TPHS,Trinity Place Holdings Inc.,10.50M,-6.30%,157350,42.33M
SGD,Safe and Green Development Corporation,7.69M,-5.86%,6745602,-
GGE,Green Giant Inc.,5.26M,-2.91%,944188,1.80M
GBR,"New Concept Energy, Inc.",5.26M,1.48%,3183,172.00K
ALBT,Avalon GloboCare Corp.,4.30M,0.83%,820,1.23M
VINO,"Gaucho Group Holdings, Inc.",3.68M,-5.47%,714,1.99M
DUO,Fangdd Network Group Ltd.,2.14M,-0.70%,908,35.17M
PW,Power REIT,2.07M,-0.81%,10152,4.00M
UK,Ucommune International Ltd,1.27M,8.70%,610812,87.50M
