Symbol,Company Name,Market Cap,% Change,Volume,Revenue
SPT,"Sprout Social, Inc.",3.32B,-0.24%,30,333.64M
NVEI,Nuvei Corporation,3.30B,4.34%,1346,1.19B
LITE,Lumentum Holdings Inc.,3.28B,-2.92%,272,1.44B
DIOD,Diodes Incorporated,3.26B,5.68%,202,1.66B
NCNO,"nCino, Inc.",3.24B,1.55%,11,462.03M
RNG,"RingCentral, Inc.",3.24B,8.55%,1708097,2.20B
FLYW,Flywire Corporation,3.24B,0.23%,1646568,403.09M
VSH,"Vishay Intertechnology, Inc.",3.23B,1.82%,751343,3.40B
LPL,"LG Display Co., Ltd.",3.15B,-,158294,16.47B
PI,"Impinj, Inc.",3.15B,2.25%,82,307.54M
INST,"Instructure Holdings, Inc.",3.06B,-1.03%,216668,530.21M
RIOT,"Riot Blockchain, Inc.",3.03B,-1.24%,414350,280.68M
YOU,"Clear Secure, Inc.",3.00B,0.10%,1148032,613.58M
MQ,"Marqeta, Inc.",2.98B,-1.21%,4868792,676.17M
KLIC,"Kulicke and Soffa Industries, Inc.",2.92B,4.75%,252,737.45M
SRAD,Sportradar Group AG,2.92B,0.41%,150054,884.39M
ENV,"Envestnet, Inc.",2.90B,2.66%,313275,1.25B
QTWO,"Q2 Holdings, Inc.",2.80B,1.65%,393112,624.62M
RUN,Sunrun Inc.,2.70B,0.74%,144207,2.26B
APPN,Appian Corporation,2.68B,3.16%,8697,545.36M
WNS,WNS (Holdings) Limited,2.67B,1.55%,164876,1.30B
PLXS,Plexus Corp.,2.64B,1.55%,159689,4.10B
ESE,ESCO Technologies Inc.,2.61B,0.56%,111092,968.85M
INTA,"Intapp, Inc.",2.60B,0.31%,1004238,392.15M
AVDX,"AvidXchange Holdings, Inc.",2.58B,2.35%,35623,380.72M
TIXT,TELUS International (Cda) Inc.,2.51B,0.33%,89037,2.71B
NABL,"N-able, Inc.",2.44B,1.38%,577543,421.88M
SIMO,Silicon Motion Technology Corporation,2.43B,0.87%,107,945.92M
VSAT,"Viasat, Inc.",2.41B,3.77%,72,3.80B
EVTC,"EVERTEC, Inc.",2.41B,-2.28%,560110,694.71M
ODD,Oddity Tech Ltd.,2.41B,-0.78%,985468,508.69M
CALX,"Calix, Inc.",2.39B,-2.20%,762493,1.04B
VIAV,Viavi Solutions Inc.,2.37B,-2.46%,2,1.01B
SONO,"Sonos, Inc.",2.34B,0.79%,6337,1.60B
PRGS,Progress Software Corporation,2.33B,1.58%,291269,694.44M
AMBA,"Ambarella, Inc.",2.33B,3.32%,457322,258.18M
CLBT,Cellebrite DI Ltd.,2.30B,1.04%,643642,325.11M
PAY,"Paymentus Holdings, Inc.",2.29B,-3.35%,408711,614.49M
ALKT,"Alkami Technology, Inc.",2.27B,-,7057,264.83M
IONQ,"IonQ, Inc.",2.27B,9.88%,12832838,22.04M
RAMP,"LiveRamp Holdings, Inc.",2.27B,0.18%,223499,636.44M
OSIS,"OSI Systems, Inc.",2.25B,-0.15%,89953,1.37B
PD,"PagerDuty, Inc.",2.24B,3.88%,653373,420.55M
ZETA,Zeta Global Holdings Corp.,2.23B,1.99%,886665,728.72M
SHLS,"Shoals Technologies Group, Inc.",2.21B,3.67%,2984,488.94M
PRFT,"Perficient, Inc.",2.20B,2.13%,6,906.54M
VYX,NCR Voyix Corporation,2.20B,2.79%,4306190,7.90B
JAMF,Jamf Holding Corp.,2.19B,0.06%,1871,560.57M
VZIO,VIZIO Holding Corp.,2.18B,-0.18%,903384,1.68B
SITM,SiTime Corporation,2.17B,3.58%,196056,143.99M
PLUS,ePlus inc.,2.16B,-0.26%,163,2.16B
