Symbol,Company Name,Market Cap,% Change,Volume,Revenue
ENR,"Energizer Holdings, Inc.",2.00B,1.58%,555934,2.91B
HLMN,Hillman Solutions Corp.,1.92B,1.44%,7700,1.48B
SFL,SFL Corporation Ltd.,1.86B,0.07%,384157,670.39M
POWL,"Powell Industries, Inc.",1.85B,-4.77%,1936,766.47M
CODI,Compass Diversified,1.83B,2.69%,351573,2.06B
MRCY,"Mercury Systems, Inc.",1.82B,2.61%,561681,895.17M
B,Barnes Group Inc.,1.82B,5.06%,378538,1.45B
HURN,Huron Consulting Group Inc.,1.81B,1.47%,123088,1.40B
AZZ,AZZ Inc.,1.79B,0.24%,100584,1.51B
EPAC,Enerpac Tool Group Corp.,1.78B,1.15%,111232,600.79M
UPWK,Upwork Inc.,1.77B,0.16%,4160,689.14M
GIC,Global Industrial Company,1.72B,0.78%,67169,1.21B
UP,Wheels Up Experience Inc.,1.68B,-12.36%,1326835,1.25B
ULCC,"Frontier Group Holdings, Inc.",1.68B,-7.63%,2472535,3.59B
HOLI,Hollysys Automation Technologies Ltd.,1.61B,0.19%,190177,786.22M
BBU,Brookfield Business Partners L.P.,1.60B,1.46%,41310,55.07B
GBX,"The Greenbrier Companies, Inc.",1.58B,1.28%,207196,3.99B
NVEE,"NV5 Global, Inc.",1.58B,-0.47%,33428,861.74M
ENVX,Enovix Corporation,1.57B,-0.64%,27338,7.64M
JELD,"JELD-WEN Holding, Inc.",1.55B,2.48%,315693,4.30B
MRTN,"Marten Transport, Ltd.",1.53B,2.01%,321453,1.13B
GEO,"The GEO Group, Inc.",1.51B,0.34%,1136335,2.41B
NSSC,"Napco Security Technologies, Inc.",1.50B,-0.63%,538746,177.41M
CTOS,"Custom Truck One Source, Inc.",1.48B,1.97%,610875,1.87B
SCS,Steelcase Inc.,1.47B,0.47%,573982,3.19B
HLIO,"Helios Technologies, Inc.",1.44B,1.63%,85654,835.60M
EVEX,"Eve Holding, Inc.",1.44B,-3.54%,82067,-
CDRE,"Cadre Holdings, Inc.",1.44B,3.48%,373040,481.59M
KFRC,Kforce Inc.,1.41B,1.73%,81828,1.53B
FLYX,"flyExclusive, Inc.",1.41B,-1.61%,42835,497.41M
DAC,Danaos Corporation,1.39B,0.03%,79894,973.58M
VVX,"V2X, Inc.",1.39B,1.17%,83187,3.96B
CDLR,Cadeler A/S,1.38B,-0.56%,-,-
PRG,"PROG Holdings, Inc.",1.37B,-1.51%,331983,2.41B
CMRE,Costamare Inc.,1.36B,0.70%,500920,1.51B
LNN,Lindsay Corporation,1.35B,2.34%,54588,659.28M
ZIM,ZIM Integrated Shipping Services Ltd.,1.35B,0.27%,2322035,6.15B
DSGR,"Distribution Solutions Group, Inc.",1.34B,-7.52%,281370,1.57B
ALGT,Allegiant Travel Company,1.33B,-2.35%,218889,2.51B
ACHR,Archer Aviation Inc.,1.33B,0.94%,8805874,-
ASPN,"Aspen Aerogels, Inc.",1.33B,-0.57%,436145,238.72M
KAMN,Kaman Corporation,1.29B,0.22%,223301,775.85M
WNC,Wabash National Corporation,1.26B,0.22%,220146,2.54B
APOG,"Apogee Enterprises, Inc.",1.25B,0.09%,100,1.40B
ZIP,"ZipRecruiter, Inc.",1.24B,2.78%,392846,645.72M
CMCO,Columbus McKinnon Corporation,1.21B,1.75%,1121,1.00B
NMM,Navios Maritime Partners L.P.,1.19B,12.40%,851325,1.35B
VSEC,VSE Corporation,1.18B,-1.01%,327643,926.33M
NX,Quanex Building Products Corporation,1.15B,0.17%,119206,1.13B
TGI,"Triumph Group, Inc.",1.15B,-0.13%,478954,1.36B
MEG,"Montrose Environmental Group, Inc.",1.12B,2.60%,183577,624.21M
AMRC,"Ameresco, Inc.",1.06B,3.52%,538776,1.37B
ARLO,"Arlo Technologies, Inc.",1.05B,0.91%,763217,491.18M
RYI,Ryerson Holding Corporation,1.04B,0.59%,181860,5.11B
TDCX,TDCX Inc.,1.04B,0.43%,165283,458.35M
BXC,BlueLinx Holdings Inc.,1.03B,1.50%,25310,3.14B
SP,SP Plus Corporation,1.02B,-0.41%,122379,1.78B
HY,"Hyster-Yale Materials Handling, Inc.",1.02B,-1.39%,77556,4.12B
REVG,"REV Group, Inc.",992.75M,-2.86%,787124,2.64B
PRLB,"Proto Labs, Inc.",972.29M,3.65%,144436,503.88M
CRAI,"CRA International, Inc.",969.96M,0.85%,38110,623.98M
BLDP,Ballard Power Systems Inc.,967.85M,-,46381,76.69M
FWRD,Forward Air Corporation,963.95M,1.79%,9699,1.72B
CPLP,Capital Product Partners L.P.,960.71M,-2.71%,89784,360.59M
HTLD,"Heartland Express, Inc.",959.67M,1.32%,262893,1.21B
ECO,Okeanis Eco Tankers Corp.,956.81M,-0.03%,4170,413.10M
HRT,HireRight Holdings Corporation,953.69M,-,852175,731.20M
ULH,"Universal Logistics Holdings, Inc.",951.88M,7.24%,60,1.73B
GRC,The Gorman-Rupp Company,951.72M,1.57%,68906,659.51M
ASTE,"Astec Industries, Inc.",947.77M,1.27%,143376,1.34B
TRNS,"Transcat, Inc.",942.69M,1.00%,30681,250.64M
BV,"BrightView Holdings, Inc.",933.62M,0.71%,974099,2.79B
MATW,Matthews International Corporation,917.39M,0.91%,3,1.88B
THR,"Thermon Group Holdings, Inc.",916.70M,-1.27%,227859,489.46M
NKLA,Nikola Corporation,914.50M,-2.35%,821987,35.84M
TWI,"Titan International, Inc.",902.16M,4.75%,174546,1.82B
ERII,"Energy Recovery, Inc.",888.14M,0.65%,400,128.35M
GNK,Genco Shipping & Trading Limited,873.84M,2.51%,578995,383.83M
TH,Target Hospitality Corp.,873.27M,-0.35%,550194,589.83M
ATSG,"Air Transport Services Group, Inc.",866.40M,0.30%,12495,2.07B
KRNT,Kornit Digital Ltd.,865.03M,0.51%,158239,219.79M
XMTR,"Xometry, Inc.",855.42M,0.28%,889344,463.41M
KELYA,"Kelly Services, Inc.",853.84M,0.04%,1651,4.84B
KELYB,"Kelly Services, Inc.",853.52M,-,99,4.84B
SKYH,Sky Harbour Group Corporation,852.69M,2.22%,13875,5.95M
CYRX,"Cryoport, Inc.",850.50M,0.64%,827585,236.35M
VLRS,"Controladora Vuela Compañía de Aviación, SAB de CV",850.35M,-3.17%,473434,2.85B
AZUL,Azul S.A.,850.22M,-1.87%,698651,3.01B
NAT,Nordic American Tankers Limited,845.62M,0.74%,1990033,339.34M
PCT,"PureCycle Technologies, Inc.",838.11M,1.80%,10939,-
BBSI,"Barrett Business Services, Inc.",789.61M,1.02%,14289,1.07B
VVI,Viad Corp,784.44M,4.46%,62577,1.24B
SNCY,"Sun Country Airlines Holdings, Inc.",775.38M,-2.22%,583325,1.05B
RGR,"Sturm, Ruger & Company, Inc.",770.51M,2.71%,129442,543.77M
SPLP,Steel Partners Holdings L.P.,767.77M,-,193,1.86B
HAYN,"Haynes International, Inc.",760.08M,0.52%,123320,604.64M
DCO,Ducommun Incorporated,731.62M,1.69%,48030,756.99M
CECO,CECO Environmental Corp.,728.03M,2.03%,307944,544.85M
HA,"Hawaiian Holdings, Inc.",720.36M,-0.43%,898,2.72B
PBI,Pitney Bowes Inc.,720.24M,-0.49%,914396,3.27B
OFLX,"Omega Flex, Inc.",700.85M,-0.85%,2355,114.14M
GSL,"Global Ship Lease, Inc.",690.04M,-1.06%,457021,674.80M
EGLE,Eagle Bulk Shipping Inc.,689.18M,2.10%,198618,393.80M
IRS,IRSA Inversiones y Representaciones SA,688.28M,-1.79%,116431,348.50M
EH,EHang Holdings Limited,680.02M,-0.45%,10896,10.52M
IIIN,"Insteel Industries, Inc.",674.66M,1.99%,54025,604.01M
SPCE,"Virgin Galactic Holdings, Inc.",666.07M,5.52%,10467965,6.80M
HSII,"Heidrick & Struggles International, Inc.",662.44M,2.11%,96430,1.04B
PLPC,Preformed Line Products Company,657.10M,-0.28%,187,694.00M
ASC,Ardmore Shipping Corporation,655.92M,0.13%,438159,395.98M
ATRO,Astronics Corporation,653.74M,-,200,689.21M
AGX,"Argan, Inc.",649.07M,1.39%,39288,527.56M
NVRI,Enviri Corporation,647.45M,2.71%,332370,2.07B
CASS,"Cass Information Systems, Inc.",645.47M,0.36%,26575,197.51M
PL,Planet Labs PBC,638.53M,2.30%,598297,214.82M
LNZA,"LanzaTech Global, Inc.",619.42M,-2.78%,206333,62.63M
CLCO,Cool Company Ltd.,617.58M,2.40%,439573,372.12M
DXPE,"DXP Enterprises, Inc.",615.92M,14.38%,493,1.68B
CVLG,"Covenant Logistics Group, Inc.",615.80M,1.13%,80588,1.10B
SWBI,"Smith & Wesson Brands, Inc.",606.05M,2.05%,38101,521.46M
NPWR,NET Power Inc.,603.73M,4.29%,341504,755.00K
TPC,Tutor Perini Corporation,599.07M,2.92%,137156,3.88B
GLDD,Great Lakes Dredge & Dock Corporation,588.95M,-1.89%,2,589.63M
TITN,Titan Machinery Inc.,586.54M,1.10%,106207,2.49B
ADSE,ADS-TEC Energy PLC,565.03M,8.45%,67259,60.74M
EVLV,"Evolv Technologies Holdings, Inc.",564.39M,1.08%,587,80.42M
